gen,model,alpha,beta,pWeight,dist1
20,m1,1.44053365037513,0.496643681278043,0.000381863970760657,0.00572614416325476
20,m1,1.22002514026517,0.682746706884104,0.000472012655336318,0.000461759315923188
20,m1,1.3407549823717,0.677990901234197,0.000448510088737861,0.00978617884229952
20,m1,1.65633439273117,0.403011200776644,0.00051124063506083,0.00951841627145926
20,m1,1.23851231626263,0.599159487065404,0.000448482907262854,0.00351469046378994
20,m1,1.24259095738258,0.761197224407753,0.00054444476931061,0.00369735606591142
20,m1,1.64320709217601,0.506996111840154,0.000464798701144996,0.00978698950644321
20,m1,1.20164385609762,0.685330263584764,0.000482571862662119,0.00147757859632871
20,m1,1.44355657270353,0.580673454452012,0.000385072464258598,0.0065856990489748
20,m1,1.61816203442478,0.407965447530068,0.000477584016410139,0.00197498692355557
20,m1,1.4879295217949,0.50664509842571,0.000378733008202999,0.00934666767555017
20,m1,1.35571051662229,0.602396599439733,0.000393935030769432,0.00297500147159757
20,m1,1.49522607581605,0.428301330823092,0.000425916052824964,0.00404566475627217
20,m1,1.56389888016729,0.577655801529446,0.000440485325825251,0.00701672661261505
20,m1,0.883265265157691,0.981226591648242,0.0012218709555256,0.00712894785490994
20,m1,1.65175983332572,0.393148107881799,0.000519541911462349,0.00909839687330996
20,m1,1.48942534781964,0.469852229834809,0.000391741853908229,0.005606270475467
20,m1,1.44997117253461,0.627273166652186,0.00042221252176754,0.000300907259749966
20,m1,1.75119081618874,0.370878356990316,0.000683263408781313,0.000173236833557293
20,m1,1.19251721889445,0.765450570995779,0.000548193013982874,0.00830178963014262
20,m1,1.61504263451674,0.376206595882087,0.000520991804010141,0.00463008611234309
20,m1,1.76476698796544,0.481445595747429,0.000653388867964978,0.0106437417885409
20,m1,1.36863620350113,0.578707568746047,0.000385367968338853,0.00183487041020875
20,m1,1.14928125737593,0.768939679320274,0.000561076243708753,0.00671741586477323
20,m1,1.23232742776751,0.66983591016539,0.000460338069247453,0.00701849603827065
20,m1,1.10590310266465,0.741289410198527,0.00056895418749711,0.00416242963715808
20,m1,1.46675565322735,0.512969805983616,0.000376076630695621,0.00713496941615912
20,m1,1.20838853927207,0.750203673724084,0.000528934275793861,0.00425389821808458
20,m1,1.43560149285022,0.51257155473341,0.000377214610042927,0.00149909209882465
20,m1,1.34295315706042,0.568734396545091,0.000391611614432659,0.00707188946680768
20,m1,1.4711596923832,0.570890029338697,0.000386298249438785,0.00494756042172639
20,m1,1.41419539704939,0.67750125240994,0.000471333322026397,0.00876128129106609
20,m1,1.54332852191819,0.44985274597208,0.000410672063715855,0.00765434229791165
20,m1,1.31817737196539,0.528585825794742,0.000415337479877722,0.00590102497967637
20,m1,1.36550741725121,0.616732932718851,0.000399304879683202,0.00599487540099934
20,m1,1.07674064233851,0.775040266859327,0.000606383646813083,0.0021438347079133
20,m1,1.1160612522292,0.74465541047185,0.000562306053571352,0.00737733710738381
20,m1,1.6346090745764,0.471743866150058,0.000451396171456094,0.00974983751853734
20,m1,1.34402700313151,0.639324662540535,0.000414304877561431,0.00610388251571251
20,m1,1.48883267574546,0.457909585591834,0.000399365558188543,0.00290853863422699
20,m1,1.60361921071545,0.495850274893075,0.000426481936990571,0.00292544937914069
20,m1,1.59788292826082,0.443306408614154,0.000435926337678387,0.00406466526079893
20,m1,1.95434368897381,0.299740607909987,0.00189688333274352,0.00765921204883131
20,m1,1.41957061030754,0.578422721726667,0.000381585987465437,0.00395510150986585
20,m1,1.63315547918093,0.434891486287101,0.000464115735648974,0.00552849764321626
20,m1,1.18113555043807,0.636694389691324,0.00049296005178763,0.00743145188020343
20,m1,1.27158593706587,0.601881654905287,0.000424967581079385,0.0049897364894803
20,m1,1.59105220040815,0.450088685861931,0.000428445602437177,0.00930588545269513
20,m1,1.34975118512293,0.715287739101244,0.000502538008922651,0.00763643055630213
20,m1,1.33887121732308,0.56391745342713,0.000393407033358204,0.00623198025440982
20,m1,1.17595883472819,0.833915105697463,0.000656280966864685,0.00336538414513694
20,m1,1.50601742351752,0.60692534504214,0.000429175504874571,0.00278623661643315
20,m1,1.65807478504924,0.513016199285098,0.000484911244760578,0.0103368179677589
20,m1,1.45441204526613,0.573264242940932,0.000383599823520837,0.00512315723547934
20,m1,1.19597533171938,0.767262837101804,0.000550139338407734,0.00733249941181981
20,m1,1.28386219164863,0.624778618298983,0.000421598928904014,0.00232034158424099
20,m1,1.38108729740975,0.502923229518817,0.00039532893342999,0.00548013572726501
20,m1,1.66816120225355,0.432750870147976,0.0004967896777677,0.00246416192495633
